name,rarity,date,PrizePerSkin
8ball,common,2022-11-11,"0,0024750859662277"
alien,common,2022-11-11,"0,0165879525834582"
angel,epic,2022-11-11,"8,988665330689146"
ape,epic,2022-11-11,"13,88152081290583"
banana,rare,2022-11-11,"0,564120015089413"
baseball,epic,2022-11-11,
basketball,common,2022-11-11,"0,0197083892698097"
beachball,common,2022-11-11,"0,0066168581942391"
bomb,uncommon,2022-11-11,"1,998609789430248"
botroyale,legendary,2022-11-11,"11,113468138894934"
bowie,rare,2022-11-11,"0,2745969637450776"
bowling,common,2022-11-11,"0,2670565571178437"
bull,uncommon,2022-11-11,"0,0124532595392313"
burger,rare,2022-11-11,"4,89121266099794"
button,common,2022-11-11,"0,0022021610055935"
candyswirl,rare,2022-11-11,"4,148207008121161"
casinochip,uncommon,2022-11-11,"0,0149992658738059"
cat,uncommon,2022-11-11,"0,0636538172218018"
cherry,rare,2022-11-11,"0,8271538795868144"
citrus,epic,2022-11-11,"1,259778305354743"
clock,common,2022-11-11,"0,0499471912540202"
cobra,legendary,2022-11-11,"57,16486022001728"
coconut,rare,2022-11-11,"2,096160837527869"
cougar,rare,2022-11-11,"6,071793917008262"
crlogo,legendary,2022-11-11,"4,563996159277997"
crosshair,common,2022-11-11,"0,7453926734213652"
cute,uncommon,2022-11-11,
derp,uncommon,2022-11-11,"0,5094064484996428"
devil,epic,2022-11-11,"10,213540705553816"
discoball,epic,2022-11-11,"0,4515530756731171"
disguise,epic,2022-11-11,"4,820472268554054"
diver,rare,2022-11-11,"3,972851166137685"
dog,uncommon,2022-11-11,
donut,uncommon,2022-11-11,"0,0044766577730098"
dragon,epic,2022-11-11,"3,074624479228738"
egg,rare,2022-11-11,"6,550851888094553"
eyeball,rare,2022-11-11,"0,0842981248160014"
eyeball2,epic,2022-11-11,"0,8682479992987582"
fishcake,uncommon,2022-11-11,
floater,rare,2022-11-11,"52,82625889774435"
fox,uncommon,2022-11-11,
fox777,legendary,2022-11-11,"49,26492888465456"
frankie,rare,2022-11-11,"1,449708027307835"
gamer,rare,2022-11-11,"0,198283301585879"
ghost,epic,2022-11-11,"26,10090713391467"
jackolantern,rare,2022-11-11,"0,0136094519519368"
ladybug,rare,2022-11-11,"4,216233491083394"
marble,rare,2022-11-11,"0,3224180699187997"
melon,rare,2022-11-11,"1,5072297763371665"
moneybag,legendary,2022-11-11,"110,0372286544401"
moon,uncommon,2022-11-11,"5,789787408043886"
